food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Cream puffs,221.33,16.00,4.70,15.48,puff,160.19,11.58,3.40,11.20
Creamed spinach,96.91,4.44,5.18,6.39,small bowl,373.69,17.13,19.99,24.64
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,bowl,2496.71,18.85,13.55,262.62
Creamy chicken,152.87,3.13,13.52,9.57,bowl,332.36,6.80,29.39,20.82
Creamy chocolate mousse,230.52,9.53,6.85,18.16,dish,467.38,19.32,13.89,36.82
Crispy baked fish,138.40,9.59,10.95,6.41,casserole dish,391.68,27.13,31.00,18.15
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.40,small bowl,2254.47,14.90,6.55,241.28
Crunchy butterscotch,277.32,19.92,3.11,20.99,cup,519.63,37.33,5.83,39.34
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,small plate,41.58,5.44,2.41,1.07
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,bowl,90.27,9.69,6.16,3.17
Cucumber sandwich (Kheere ka sandwich),188.60,25.77,4.80,8.00,triangle,114.57,15.65,2.92,4.86
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06,glass,112.14,27.27,1.07,0.24
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,glass,30.80,6.32,0.57,0.37
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.20,plate,365.83,63.87,6.69,8.65
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,,,,,
Curd dip,79.95,7.95,5.04,3.36,,,,,
Curd dressing ,78.80,8.03,5.59,2.90,cup,164.82,16.79,11.68,6.07
Curd mint dip ,76.13,9.11,4.82,2.44,tablespoon,25.09,3.00,1.59,0.80
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,plate,423.11,71.18,12.44,9.33
Curd vegetable dip,56.21,6.04,3.88,1.94,tablespoon,15.63,1.68,1.08,0.54
Curd with potatoes (Dahi aloo),59.90,7.15,1.56,2.72,bowl,227.19,27.10,5.93,10.32
Curried Cauliflower soup,37.32,3.12,6.72,9.77,cup,129.84,10.84,23.36,34.00
Custard tart,225.60,28.66,3.72,10.73,tart,161.73,20.55,2.67,7.69
